Employee_Name,EmpID,MarriedID,GenderID,EmpStatusID,DeptID,FromDiversityJobFairID,Salary,Termd,PositionID,Position,State,DOB,Sex,MaritalDesc
"Adinolfi, Wilson  K",10026,0,1,1,5,0,62506,0,19,Production Technician I,MA,07-10-83,M ,Single
"Ait Sidi, Karthikeyan   ",10084,1,1,5,3,0,104437,1,27,Sr. DBA,MA,05-05-75,M ,Married
"Akinkuolie, Sarah",10196,1,0,5,5,0,64955,1,20,Production Technician II,MA,09/19/88,F,Married
"Alagbe,Trina",10088,1,0,1,5,0,64991,0,19,Production Technician I,MA,09/27/88,F,Married
"Anderson, Carol ",10069,0,0,5,5,0,50825,1,19,Production Technician I,MA,09-08-89,F,Divorced
"Anderson, Linda  ",10002,0,0,1,5,0,57568,0,19,Production Technician I,MA,05/22/77,F,Single
"Andreola, Colby",10194,0,0,1,4,0,95660,0,24,Software Engineer,MA,05/24/79,F,Single
"Athwal, Sam",10062,0,1,1,5,0,59365,0,19,Production Technician I,MA,02/18/83,M ,Widowed
"Bachiochi, Linda",10114,0,0,3,5,1,47837,0,19,Production Technician I,MA,02-11-70,F,Single
"Bacong, Alejandro ",10250,0,1,1,3,0,50178,0,14,IT Support,MA,01-07-88,M ,Divorced
"Baczenski, Rachael  ",10252,1,0,5,5,1,54670,1,19,Production Technician I,MA,01-12-74,F,Married
"Barbara, Thomas",10242,1,1,5,5,1,47211,1,19,Production Technician I,MA,02/21/74,M ,Married
"Barbossa, Hector",10012,0,1,1,3,1,92328,0,9,Data Analyst,TX,07-04-88,M ,Divorced
"Barone, Francesco  A",10265,0,1,1,5,0,58709,0,19,Production Technician I,MA,07/20/83,M ,Single
"Barton, Nader",10066,0,1,5,5,0,52505,1,19,Production Technician I,MA,07/15/77,M ,Divorced
"Bates, Norman",10061,0,1,4,5,0,57834,1,19,Production Technician I,MA,10/18/81,M ,Single
"Beak, Kimberly  ",10023,1,0,2,5,0,70131,0,20,Production Technician II,MA,04/17/66,F,Married
"Beatrice, Courtney ",10055,0,0,1,5,0,59026,0,19,Production Technician I,MA,10/27/70,F,Single
"Becker, Renee",10245,0,0,4,3,0,110000,1,8,Database Administrator,MA,04-04-86,F,Single
"Becker, Scott",10277,0,1,3,5,0,53250,0,19,Production Technician I,MA,04-06-79,M ,Single
"Bernstein, Sean",10046,0,1,1,5,0,51044,0,19,Production Technician I,MA,12/22/70,M ,Single
"Biden, Lowan  M",10226,0,0,1,5,0,64919,0,19,Production Technician I,MA,12/27/58,F,Divorced
"Billis, Helen",10003,1,0,1,5,0,62910,0,19,Production Technician I,MA,09-01-89,F,Married
"Blount, Dianna",10294,0,0,1,5,0,66441,0,20,Production Technician II,MA,09/21/90,F,Single
"Bondwell, Betsy",10267,0,0,5,5,0,57815,1,20,Production Technician II,MA,01/16/67,F,Single
"Booth, Frank",10199,0,1,4,3,0,103613,1,30,Enterprise Architect,CT,07/30/64,M ,Single
"Boutwell, Bonalyn",10081,1,0,1,1,1,106367,0,26,Sr. Accountant,MA,04-04-87,F,Married
"Bozzi, Charles",10175,0,1,5,5,0,74312,1,18,Production Manager,MA,03-10-70,M ,Single
"Brill, Donna",10177,1,0,5,5,0,53492,1,19,Production Technician I,MA,08/24/90,F,Married
"Brown, Mia",10238,1,0,1,1,1,63000,0,1,Accountant I,MA,11/24/87,F,Married
"Buccheri, Joseph  ",10184,0,1,1,5,0,65288,0,20,Production Technician II,MA,07/28/83,M ,Single
"Bugali, Josephine ",10203,0,0,3,5,1,64375,0,19,Production Technician I,MA,10/30/69,F,Separated
"Bunbury, Jessica",10188,1,0,5,6,0,74326,1,3,Area Sales Manager,VA,06-01-64,F,Married
